*Node data
Node_ID Gender Node_type Node_location Node_region
A1 Male Seed_specialist Paucara  Huancavelica
A2 Male Farmer Liriopampa Pasco
A3 Female Farmer Castillapata Huancavelica
A4 Male Farmer La_Victoria Pasco
A5 Male Farmer Chupaca Pasco
A6 Male Custodian Bellavista Pasco
A7 Male Farmer Chupaca Pasco
A8 Male Farmer Paucartambo Junin
A9 Female Farmer Castillapata Huancavelica
A10 Male Farmer Paucara  Huancavelica
A11 Female Farmer Castillapata Huancavelica
A12 Female Farmer Tambillo Pasco
A13 Female Farmer Chupaca Pasco
A14 Female Farmer Tambos Junin
A15 Male Farmer Castillapata Huancavelica
A16 Female Farmer Huachhua Huancavelica
A17 Male Seed_specialist Pumaranra Huancavelica
A18 Male Other Carhuamayo Junin
A19 Male Farmer Ulcumayo Junin
A20 Male Farmer Santa_Isabel Pasco
A21 Male Farmer Huachhua Huancavelica
A22 Male Farmer Castillapata Huancavelica
A23 Male Seed_specialist Churcampa Huancavelica
A24 Male Farmer Yapacmarca Junin
A25 Male Seed_specialist Pumaranra Huancavelica
A26 Male Custodian Huachhua Huancavelica
A27 Female Farmer Pumaranra Huancavelica
A28 Male Farmer Bellavista Pasco
A29 Male Farmer Chupaca Pasco
A30 Male Farmer Castillapata Huancavelica
A31 NA Farm_assoc Huasahuasi Junin
A32 Male Farmer Ulcumayo Junin
A33 NA Public Huancavelica Huancavelica
A34 NA Trader Acobamba Huancavelica
A35 NA Other Acopalca Pasco
A36 NA Farmer Acoria Huancavelica
A37 NA Farmer Ambato Huancavelica
A38 NA Trader Ambo Huanuco
A39 NA Trader Andahuaylas Apurimac
A40 NA Farmer Auquimarca Pasco
A41 NA Trader Ayacucho Ayacucho
A42 NA Farmer Barranca Lima
A43 NA Trader Canap Junin
A44 NA Trader Feria_Carhuamayo Junin
A45 NA Trader Feria_Castillapata Huancavelica
A46 NA Trader Ccasapata Huancavelica
A47 NA Farmer Ccochaccasa Huancavelica
A48 NA Trader CerrodPasco Pasco
A49 NA Trader Chanquil Huancavelica
A50 NA Trader Chocon_Jauja Junin
A51 NA Farmer Chopccapampa Huancavelica
A52 NA Farmer Huachhua Huancavelica
A53 NA Farmer Huallamayo Pasco
A54 NA Trader Huancayo Huancavelica
A55 NA Trader Huanuco Huanuco
A56 NA Trader Huasahuasi Junin
A57 NA Other Huayucachi Junin
A58 NA Trader Huancavelica Huancavelica
A59 NA Trader Feria_Huancavelica  Huancavelica
A60 NA Trader Jauja Junin
A61 NA Farmer La_Victoria Pasco
A62 NA Trader Lima Lima
A63 NA Farmer Mayunmarca Huancavelica
A64 NA Farmer Occopata Huancavelica
A65 NA Farmer Paca Junin
A66 NA Trader Paccho_Molinos Huancavelica
A67 NA Farmer Pachacclla Huancavelica
A68 NA Trader Feria_Pachacclla Huancavelica
A69 NA Trader Pampas Huancavelica
A70 NA Trader Paucara  Huancavelica
A71 NA Trader Feria_Paucara Huancavelica
A72 NA Farmer Paucartambo Pasco
A73 NA Farmer Pazos Junin
A74 NA Farmer Piscurruray Junin
A75 NA Other Pueblo_Libre Huancavelica
A76 NA Trader Pumaranra Huancavelica
A77 NA Farmer Quilcatacta Junin
A78 NA Farmer San_Francisco Junin
A79 NA Other Santa_Ana Huancavelica
A80 NA Farmer Tayapampa Pasco
A81 NA Trader Tinyacclla Huancavelica
A82 NA Farmer Ulcumayo  Junin
A83 NA Other Yauli Huancavelica
B84 Female Farmer Ambato Huancavelica
