*Node data
Node_id Gender Node_type Node_location Node_region
A1 Female Farmer Yauli Huancavelica
A2 Male Farmer Tama Junin
A3 Male Seed_specialist Paucara  Huancavelica
A4 Male Farmer Santa_Cruz_Paccho Huancavelica
A5 Male Farmer Ulcumayo Junin
A6 Male Custodian Bellavista Pasco
A7 Male Farmer Chupaca Pasco
A8 Male Farmer Chupaca Pasco
A9 Female Farmer Castillapata Huancavelica
A10 Female Farmer Tambillo Pasco
A11 Male Farmer Jauja Junin
A12 Female Farmer Chupaca Pasco
A13 Male Farmer Castillapata Huancavelica
A14 Male Seed_specialist Pumaranra Huancavelica
A15 Male Farmer Ulcumayo Junin
A16 Female Trader Bellavista Pasco
A17 Male Farmer Paucartambo Pasco
A18 Male Custodian Huachhua Huancavelica
A19 Male Farmer Castillapata Huancavelica
A20 Male Farmer Pucapampa Huancavelica
A21 Female Farmer Pachacclla Huancavelica
A22 Male Farmer Pachacclla Huancavelica
A23 Male Seed_specialist Pumaranra Huancavelica
A24 Female Farmer Pumaranra Huancavelica
A25 Male Farmer Castillapata Huancavelica
A26 Male Custodian Huachhua Huancavelica
A27 Female Farmer Pumaranra Huancavelica
A28 Female Farmer Hornomachay Junin
A29 Male Farmer Chupaca Pasco
A30 Male Farmer Castillapata Huancavelica
A31 Male Farmer Bellavista Pasco
A32 Female Farmer Castillapata Huancavelica
A33 Female Farmer Ulcumayo Junin
A34 Male Farmer Acopalca Pasco
A35 NA Trader Acobamba Huancavelica
A36 NA Other Acopalca Pasco
A37 NA Farmer Acoria Huancavelica
A38 NA Farmer Ambato Huancavelica
A39 NA Trader Ambo Huanuco
A40 NA Farmer Andabamba Huancavelica
A41 NA Trader Atalla Huancavelica
A42 NA Trader Ayacucho Ayacucho
A43 NA Farmer Barranca Lima
A44 NA Farmer Bellavista Pasco
A45 NA Trader Buena_Vista Huancavelica
A46 NA Trader Feria_Carhuamayo Junin
A47 NA Trader Feria_Castillapata Huancavelica
A48 NA Farmer Ccarhuacc Huancavelica
A49 NA Trader Ccechccas Huancavelica
A50 NA Trader CerrodPasco Pasco
A51 NA Trader Chanquil Huancavelica
A52 NA Farmer Chaucala Junin
A53 NA Farmer Chicla Lima
A54 NA Farmer Chinchanco Pasco
A55 NA Farmer Chopcca Huancavelica
A56 NA Farmer Churcampa Huancavelica
A57 NA Farmer Huachhua Huancavelica
A58 NA Farmer Huallamayo Pasco
A59 NA Trader Huanacopampa Huancavelica
A60 NA Trader Huancash Junin
A61 NA Market Huancayo Junin
A62 NA Farmer Huanopata Huancavelica
A63 NA Trader Huanuco Huanuco
A64 NA Trader Huasahuasi Junin
A65 NA Trader Huaylacucho Huancavelica
A66 NA Trader Feria_Huancavelica  Huancavelica
A67 NA Farmer Jachahuanca Junin
A68 NA Trader Jauja Junin
A69 NA Trader Junin Junin
A70 NA Farmer La_Victoria Pasco
A71 NA Trader Lima Lima
A72 NA Farmer Mantacra Huancavelica
A73 NA Farmer Mosocancha Huancavelica
A74 NA Farmer Paca Junin
A75 NA Trader Paccho_Molinos Huancavelica
A76 NA Trader Feria_Pachacclla Huancavelica
A77 NA Trader Pampas Huancavelica
A78 NA Trader Parco_Alto Huancavelica
A79 NA Trader Paucara  Huancavelica
A80 NA Farmer Paucartambo Pasco
A81 NA Farmer Picchapuquio Junin
A82 NA Farmer Pucapampa  Huancavelica
A83 NA Trader Pumaranra Huancavelica
A84 NA Farmer Puyay Junin
A85 NA Farmer Quilcatacta Junin
A86 NA Farmer Quiparacra Pasco
A87 NA Farmer Silva Huancavelica
A88 NA Trader Tama Junin
A89 NA Trader Tambillo Pasco
A90 NA Farmer Tantaccato Huancavelica
A91 NA Trader Tarma Junin
A92 NA Farmer Ulcumayo  Junin
A93 NA Other Yauli Huancavelica
B94 Female Farmer Bellavista Pasco
B95 Male Custodian Chupaca Pasco
B96 Female Custodian Bellavista Pasco
B97 Male Farmer Tambillo Pasco
B98 Male Farmer Pachacclla Huancavelica
C99 Male Farmer Pachacclla Huancavelica
C100 Male Farmer Bellavista Pasco
C101 Female Farmer Bellavista Pasco
C102 Female Farmer Bellavista Pasco
C103 Female Farmer Castillapata Huancavelica
C104 Male Farmer Bellavista Pasco
C105 Female Farmer Bellavista Pasco
C106 Male Trader Huallamayo Pasco
C107 Male Farmer Chupaca Pasco
C108 Male Farmer Chupaca Pasco
C109 Male Farmer Pachacclla Huancavelica
C110 Male Farmer Pachacclla Huancavelica
C111 Male Farmer Castillapata Huancavelica
C112 Female Farmer Paucartambo Pasco
C113 NA NGO Huancayo Junin
C114 NA Other Bellavista Pasco
D115 Male Farmer Bellavista Pasco
D116 Male Farmer Castillapata Huancavelica
D117 Male Farmer Castillapata Huancavelica
D118 Male Farmer Pachacclla Huancavelica
D119 Male Farmer Chupaca Pasco
D120 Female Farmer Castillapata Huancavelica
D121 Female Seed_specialist Paucara  Huancavelica
D122 Female Farmer Castillapata Huancavelica
D123 Male Farmer Huachhua Huancavelica
D124 Male Custodian Pachacclla Huancavelica
D125 Male Farmer Bellavista Pasco
D126 Male Farmer Pachacclla Huancavelica
D127 Male Farmer Castillapata Huancavelica
D128 NA Government Huancavelica Huancavelica
E129 Male Farmer Castillapata Huancavelica
E130 Female Farmer Huachhua Huancavelica
E131 Male Farmer Bellavista Pasco
E132 Male Farmer Chupaca Pasco
E133 Male Farmer Chupaca Pasco
E134 Male Farmer Castillapata Huancavelica
E135 Female Farmer Castillapata Huancavelica
E136 Female Farmer Castillapata Huancavelica
E137 Male Farmer Chupaca Pasco
E138 Male Farmer Chupaca Pasco
E139 Male Farmer Castillapata Huancavelica
E140 Male Trader Huancayo Junin
E141 Female Farmer Tama Junin
E142 Female Farmer Tama Junin
E143 NA Company Ccochaccasa Huancavelica
E144 Male Farmer Pumaranra Huancavelica
E145 Male Farmer Chupaca Pasco
E146 Female Farmer Pachacclla Huancavelica
E147 Male Custodian Bellavista Pasco
E148 Male Farmer La_Victoria Pasco
E149 Male Farmer Tama Junin
E150 Male Farmer Bellavista Pasco
E151 Male Farmer Bellavista Pasco
E152 Male Farmer Tama Junin
E153 Male Farmer Ascension Huancavelica
E154 Female Farmer Pachacclla Huancavelica
E155 Female Farmer Pachacclla Huancavelica
E156 Male Farmer Bellavista Pasco
E157 Male Farmer Pachacclla Huancavelica
E158 Male Farmer Huachhua Huancavelica
E159 Male Farmer Chupaca Pasco
E160 Male Trader Tarma Junin
E161 Male Farmer La_Victoria Pasco
F162 Male Farmer Ulcumayo Junin
F163 Male Seed_specialist Paucara  Huancavelica
F164 Male Farmer Ninacaca Pasco
